Y,X1,X2,X3,X4,X5,X6,X7
-1,-4.400806,6.497719,2.487098,6.342305,5.268171,2.817185,6.600208
-1,-4.170999,6.650009,2.295134,6.83264,5.147534,2.599744,7.110482
-1,-3.722875,6.243902,2.588192,6.938571,4.751345,2.931696,7.220721
-1,-4.389316,6.294665,2.424702,6.714761,5.256843,2.746508,6.98781
-1,-3.355184,6.599246,2.720926,8.166179,4.149689,3.082046,8.498249
-1,-4.975324,6.294665,3.423096,3.525249,7.069543,3.877408,3.668599
-1,-3.803308,6.091611,4.421508,4.510083,6.181321,5.008329,4.693481
-1,-2.976002,6.091611,5.011037,4.856998,5.806688,5.6761,5.054503
-1,-3.297732,6.091611,4.274131,4.68354,6.181321,4.841392,4.873992
-1,-5.526861,6.751536,3.191462,2.973673,7.605183,3.615032,3.094595
-1,-3.263261,6.091611,4.863659,5.030476,5.619383,5.509162,5.235035
-1,-4.469748,5.888558,3.659187,3.588924,6.782011,4.144833,3.734864
-1,-5.032776,6.243902,3.594722,3.38468,6.761534,4.071812,3.522315
-1,-5.055756,6.243902,3.450934,3.215448,6.761534,3.908941,3.346201
-1,-5.607293,6.243902,3.450934,2.876964,6.944276,3.908941,2.993952
-1,-4.412296,5.939321,3.325576,3.202418,7.108272,3.766945,3.332641
-1,-3.079415,5.583977,3.376423,5.866249,5.517222,3.824541,6.104794
-1,-2.953021,6.091611,3.979358,4.336604,6.930565,4.507496,4.512948
-1,-4.125038,6.091611,4.716281,4.336604,5.24475,5.342225,4.512948
-1,-4.159509,6.040848,4.012802,4.547967,5.666608,4.545379,4.732906
-1,-2.504897,5.990084,5.545615,7.05618,3.428768,6.281627,7.343113
-1,-2.171677,5.990084,4.946094,7.232594,3.428768,5.602537,7.5267
-1,-3.401145,5.990084,5.395744,7.05618,3.428768,6.111865,7.343113
-1,-3.584991,6.142375,4.384969,4.644823,5.387167,4.96694,4.8337
-1,-3.297732,6.040848,4.607282,4.373053,5.288828,5.218759,4.550879
-1,-4.469748,6.142375,4.677301,4.644823,5.387167,5.298071,4.8337
-1,-3.493068,6.040848,4.904532,4.897817,5.09995,5.555459,5.096982
-1,-3.653933,6.142375,4.531126,4.644823,5.387167,5.132496,4.8337
-1,-4.21696,6.142375,4.531126,4.644823,5.387167,5.132496,4.8337
-1,-3.251771,6.193138,4.493986,4.606751,5.343022,5.090426,4.79408
-1,-3.596481,6.243902,4.313659,5.92318,5.11683,4.886166,6.16404
-1,-4.975324,6.091611,3.83198,3.642754,6.368626,4.340559,3.790882
-1,-4.446768,6.193138,3.914114,3.241801,5.711496,4.433593,3.373625
-1,-4.400806,6.091611,4.126735,4.510083,5.994016,4.674434,4.693481
-1,-5.365996,6.142375,3.654147,3.096549,6.687538,4.139124,3.222467
-1,-5.297054,6.040848,3.566937,2.798759,6.799925,4.040339,2.912568
-1,-5.147679,6.142375,3.800304,3.096549,6.13023,4.304679,3.222467
-1,-3.88374,6.091611,4.274131,4.856998,6.181321,4.841392,5.054503
-1,-5.81412,6.193138,3.769159,2.900548,6.632715,4.2694,3.018496
-1,-4.010134,5.990084,4.646333,2.822468,7.238529,5.262993,2.937241
-1,-4.676575,5.990084,4.346573,2.822468,7.429004,4.923448,2.937241
-1,-4.745517,6.091611,3.979358,2.428509,6.743259,4.507496,2.527262
-1,-4.389316,6.142375,4.092637,2.924527,6.687538,4.63581,3.04345
-1,-5.388977,6.091611,3.83198,3.642754,5.806688,4.340559,3.790882
-1,-4.688065,6.142375,3.946462,2.752485,6.687538,4.470234,2.864412
-1,-4.51571,6.091611,3.83198,3.989689,5.619383,4.340559,4.151926
-1,-3.113886,5.888558,4.269037,4.486145,6.006918,4.835622,4.668569
-1,-5.871572,5.939321,4.232551,3.024505,6.531926,4.794293,3.147494
-1,-4.228451,5.939321,3.627901,3.202418,6.916156,4.109394,3.332641
-1,-4.504219,5.888558,3.659187,4.127261,6.200697,4.144833,4.295092
-1,-5.538351,5.888558,3.659187,4.127261,6.200697,4.144833,4.295092
-1,-5.561332,6.193138,4.204059,2.559315,6.632715,4.76202,2.663387
-1,-3.653933,5.888558,3.659187,4.127261,6.200697,4.144833,4.295092
-1,-4.251431,5.888558,3.659187,4.127261,6.200697,4.144833,4.295092
-1,-4.711046,5.888558,3.659187,4.127261,6.200697,4.144833,4.295092
-1,-3.630952,5.939321,4.232551,3.558242,6.531926,4.794293,3.702934
-1,-4.802969,5.939321,3.779063,3.38033,6.724041,4.280619,3.517787
-1,-4.711046,5.888558,3.811641,4.127261,6.200697,4.31752,4.295092
-1,-3.757346,5.888558,3.659187,4.306713,6.006918,4.144833,4.481841
-1,-5.354506,6.142375,3.946462,2.752485,6.687538,4.470234,2.864412
-1,-4.021624,5.939321,4.383713,4.981538,4.418656,4.965518,5.184108
-1,-4.377825,5.939321,4.383713,4.803626,4.610771,4.965518,4.998961
-1,-4.113547,5.939321,4.383713,4.981538,4.610771,4.965518,5.184108
-1,-4.297393,5.939321,4.081388,5.15945,4.995002,4.623069,5.369254
-1,-3.734365,5.939321,4.232551,4.447802,4.995002,4.794293,4.628668
-1,-3.607972,6.497719,4.421508,4.716054,5.794977,5.008329,4.907828
-1,-4.894891,6.142375,4.092637,2.752485,6.316006,4.63581,2.864412
-1,-3.676914,5.939321,3.930226,4.625714,4.995002,4.451844,4.813814
-1,-3.159848,5.939321,4.686038,4.981538,4.995002,5.307968,5.184108
-1,-2.435955,5.939321,4.686038,4.803626,5.187117,5.307968,4.998961
-1,-3.343693,5.888558,3.506716,4.665597,5.813162,3.972126,4.855319
-1,-4.423787,5.888558,3.354245,4.665597,6.200697,3.799419,4.855319
-1,-3.952682,5.939321,3.325576,4.625714,6.531926,3.766945,4.813814
-1,-3.539029,5.939321,3.174413,4.803626,6.531926,3.59572,4.998961
-1,-4.458258,5.888558,4.269037,5.024481,5.231848,4.835622,5.228797
-1,-3.355184,5.837794,4.459958,4.887181,5.668249,5.051882,5.085913
-1,-5.205131,6.091611,4.126735,2.775424,6.368626,4.674434,2.888284
-1,-3.688404,5.837794,4.15238,4.706167,5.668249,4.703482,4.897539
-1,-2.148696,5.279396,6.122091,4.203176,5.403261,6.934613,4.374094
-1,-3.159848,5.787031,4.964505,5.112636,5.323623,5.623392,5.320536
-1,-3.584991,5.685504,3.47405,5.01807,6.020764,3.935124,5.222125
-1,-4.102057,5.63474,3.18667,5.43834,5.670002,3.609603,5.659484
-1,-2.838118,5.787031,4.188796,4.747445,5.717969,4.744731,4.940495
-1,-3.688404,5.888558,3.659187,4.84505,5.425604,4.144833,5.042069
-1,-3.87225,6.243902,3.307147,5.415484,4.751345,3.74607,5.635699
-1,-5.331525,5.939321,3.476738,3.202418,6.916156,3.938169,3.332641
-1,-4.400806,5.63474,3.824003,4.688224,5.872502,4.331524,4.878866
-1,-3.918211,6.446955,3.760015,4.917093,6.371593,4.259043,5.117041
-1,-5.365996,6.091611,3.83198,2.948903,6.743259,4.340559,3.068817
-1,-6.859742,6.599246,2.720926,2.241688,8.126482,3.082046,2.332844
-1,-3.481578,6.091611,4.421508,4.510083,5.806688,5.008329,4.693481
-1,-3.182828,6.091611,5.453188,5.030476,5.057444,6.176933,5.235035
-1,-2.470426,6.040848,5.201781,4.897817,4.911048,5.892159,5.096982
-1,-3.929702,6.142375,4.238794,4.472802,5.758699,4.801365,4.654684
-1,-3.102396,6.040848,5.053147,5.072732,4.533291,5.723799,5.27901
-1,-3.803308,6.091611,4.568886,4.68354,5.619383,5.175267,4.873992
-1,-3.355184,6.091611,4.274131,5.203934,5.619383,4.841392,5.415546
-1,-3.699894,6.142375,4.531126,4.644823,5.572944,5.132496,4.8337
-1,-4.412296,6.040848,3.715553,4.547967,6.044388,4.208679,4.732906
-1,-5.274073,6.040848,4.012802,4.897817,5.666608,4.545379,5.096982
-1,-4.504219,6.040848,4.012802,4.722903,5.855487,4.545379,4.914955
-1,-4.986814,6.040848,3.864168,4.722903,5.855487,4.377019,4.914955
-1,-4.86042,6.040848,4.012802,4.722903,5.855487,4.545379,4.914955
-1,-3.906721,6.040848,4.161418,4.897817,5.666608,4.713719,5.096982
-1,-4.021624,6.040848,4.161418,4.722903,5.855487,4.713719,4.914955
-1,-4.274412,6.040848,4.161418,4.722903,5.855487,4.713719,4.914955
-1,-4.010134,6.040848,3.864168,4.547967,6.044388,4.377019,4.732906
-1,-2.89557,6.142375,4.823459,4.816865,5.387167,5.463626,5.012738
-1,-3.619462,6.142375,4.384969,4.988886,5.387167,4.96694,5.191754
-1,-3.803308,5.990084,4.046812,4.410105,6.095592,4.583903,4.589437
-1,-4.366335,6.040848,4.012802,4.722903,5.855487,4.545379,4.914955
-1,-4.285903,6.040848,4.012802,4.722903,5.855487,4.545379,4.914955
-1,-3.849269,6.142375,4.238794,4.816865,5.387167,4.801365,5.012738
-1,-2.930041,6.142375,4.238794,4.988886,5.572944,4.801365,5.191754
-1,-4.19398,6.040848,4.012802,4.722903,5.666608,4.545379,4.914955
-1,-3.389655,5.990084,4.496444,4.939324,5.333648,5.09321,5.140177
-1,-4.492729,6.040848,3.715553,4.373053,6.233267,4.208679,4.550879
-1,-3.906721,6.040848,3.566937,4.198138,6.422145,4.040339,4.368851
-1,-3.596481,6.040848,5.201781,5.072732,4.911048,5.892159,5.27901
-1,-3.412636,6.040848,5.053147,4.373053,5.666608,5.723799,4.550879
-1,-4.734026,5.990084,3.896923,4.586518,5.905117,4.414121,4.773024
-1,-3.711385,6.091611,4.274131,4.68354,5.619383,4.841392,4.873992
-1,-3.699894,5.990084,3.896923,4.057299,6.476586,4.414121,4.222285
-1,-5.15917,5.990084,4.046812,4.233712,6.095592,4.583903,4.405872
-1,-4.423787,6.040848,3.418303,4.198138,6.611046,3.871979,4.368851
-1,-4.802969,5.990084,3.747034,4.057299,6.66706,4.244339,4.222285
-1,-4.883401,5.990084,3.597162,4.057299,6.66706,4.074576,4.222285
-1,-3.630952,5.990084,3.896923,4.233712,6.476586,4.414121,4.405872
-1,-3.987153,5.990084,4.496444,3.5281,6.66706,5.09321,3.671567
-1,-4.940853,5.990084,3.597162,3.880906,6.857558,4.074576,4.03872
-1,-4.251431,5.990084,4.046812,4.586518,5.905117,4.583903,4.773024
-1,-4.757007,5.990084,3.896923,4.057299,6.286089,4.414121,4.222285
-1,-4.285903,5.990084,4.346573,4.233712,5.71462,4.923448,4.405872
-1,-3.88374,5.990084,3.896923,4.057299,6.66706,4.414121,4.222285
-1,-4.285903,5.990084,3.747034,4.057299,6.66706,4.244339,4.222285
-1,-4.354845,6.040848,3.566937,4.023203,6.799925,4.040339,4.186802
-1,-4.51571,6.040848,4.012802,4.198138,6.422145,4.545379,4.368851
-1,-3.653933,5.990084,4.046812,4.057299,6.476586,4.583903,4.222285
-1,-4.688065,5.990084,3.447273,4.057299,6.66706,3.904794,4.222285
-1,-4.894891,5.990084,3.747034,4.057299,6.476586,4.244339,4.222285
-1,-5.365996,6.040848,3.566937,3.673374,6.799925,4.040339,3.822748
-1,-4.435277,6.142375,4.092637,3.784675,6.873292,4.63581,3.938575
-1,-4.83744,5.990084,3.896923,4.057299,6.476586,4.414121,4.222285
-1,-4.274412,5.990084,3.747034,4.233712,6.476586,4.244339,4.405872
-1,-3.768837,6.040848,4.161418,4.722903,5.666608,4.713719,4.914955
-1,-3.87225,6.040848,4.012802,3.673374,6.611046,4.545379,3.822748
-1,-4.469748,5.990084,3.597162,4.233712,6.476586,4.074576,4.405872
-1,-4.665084,6.040848,3.864168,3.673374,6.988804,4.377019,3.822748
-1,-4.446768,6.040848,3.566937,4.023203,6.611046,4.040339,4.186802
-1,-4.481239,5.990084,3.896923,4.057299,6.66706,4.414121,4.222285
-1,-4.711046,6.040848,3.864168,4.198138,6.233267,4.377019,4.368851
-1,-3.837779,6.040848,4.755916,4.897817,5.09995,5.387119,5.096982
-1,-4.791478,6.040848,3.864168,3.498438,6.611046,4.377019,3.640699
-1,-4.550181,6.040848,3.566937,4.198138,6.611046,4.040339,4.368851
-1,-4.251431,5.990084,3.597162,4.057299,6.66706,4.074576,4.222285
-1,-4.308883,6.040848,3.715553,3.673374,6.988804,4.208679,3.822748
-1,-4.998305,6.040848,3.864168,3.673374,6.611046,4.377019,3.822748
-1,-3.573501,5.990084,4.196684,4.762932,5.71462,4.753666,4.956611
-1,-3.573501,5.990084,4.796205,4.233712,6.095592,5.432755,4.405872
-1,-4.170999,5.990084,4.046812,4.410105,6.095592,4.583903,4.589437
-1,-5.676236,6.193138,3.479214,3.241801,7.553934,3.940974,3.373625
